sigma_r,rho,pct_stress,med_drawdown_pct,p95_drawdown_pct,p99_drawdown_pct,pct_emergency,max_emergency_days,stable_med_oas_bps,in_target
0.008,0.35,0.173,-4.051561780039236,-2.252292713213034,-1.7733986744124055,0.001,2,93.62332741895585,False
0.008,0.45,0.173,-4.051595471886454,-2.2521368452961497,-1.77375587643471,0.001,2,93.63854746088192,False
0.008,0.55,0.173,-4.051690333266539,-2.251898661547343,-1.774339969108089,0.001,2,93.12576523711677,False
0.01,0.35,0.229,-4.7770706882487355,-2.666234180509317,-2.018518291873169,0.004,2,93.1938052405726,True
0.01,0.45,0.229,-4.778560198597409,-2.6663345628317847,-2.0187927101161303,0.005,2,93.02590443444835,True
0.01,0.55,0.229,-4.780240316897117,-2.6663993439391005,-2.019084317303949,0.006,2,92.64401405213006,True
0.012,0.35,0.371,-5.517236275906207,-3.1373966901886283,-2.3232885297179435,0.017,2,92.49987644404055,False
0.012,0.45,0.368,-5.518197315699491,-3.138385226195159,-2.3234692056475126,0.017,2,92.00510540847664,False
0.012,0.55,0.365,-5.519302507655588,-3.1394182482397155,-2.3236374718561916,0.017,2,91.83500504098227,False
