path,max_daily_liquidations,max_daily_liq_volume,max_oas_bps,min_liquidity,max_drawdown,emergency_days,oracle_stale_gap
0,0.0,0.0,88.73226963088992,0.8031693259227752,-0.07146185573523689,0,0
1,250.0,2024344.2229786762,500.0,0.05,-0.11686375077905897,0,0
2,0.0,0.0,95.79410339407677,0.785514741514808,-0.05056327280839901,0,0
3,250.0,2024344.2229786762,500.0,0.05,-0.11136682687619304,0,0
4,250.0,2024344.2229786762,500.0,0.05,-0.056438046701430045,0,1
5,0.0,0.0,82.79700298057477,0.8180074925485631,-0.0838840009550379,0,0
6,0.0,0.0,89.88764624361679,0.800280884390958,-0.06537631868435256,0,0
7,0.0,0.0,88.54877293239461,0.8036280676690134,-0.04488522347452795,0,0
8,250.0,2024344.2229786762,500.0,0.05,-0.07483148169634657,0,1
9,0.0,0.0,96.04344577200132,0.7848913855699967,-0.035811191359839456,0,0
10,0.0,0.0,114.03369834797604,0.7399157541300598,-0.05056541308673079,0,0
11,0.0,0.0,86.2777126095594,0.8093057184761014,-0.03534789417093165,0,0
12,0.0,0.0,86.15174670225325,0.8096206332443668,-0.027603438216180054,0,0
13,0.0,0.0,76.19599448367066,0.8345100137908233,-0.059024611234634206,0,0
14,0.0,0.0,91.939067008925,0.7951523324776875,-0.08673969280597693,0,0
15,0.0,0.0,107.16913701800812,0.7570771574549797,-0.07639241351981985,0,0
16,0.0,0.0,101.21279543772259,0.7719680114056935,-0.04745413258086062,0,0
17,250.0,2024344.2229786762,500.0,0.05,-0.03857011153576961,0,1
18,0.0,0.0,84.05378526899804,0.8148655368275048,-0.05259668782744864,0,0
19,0.0,0.0,104.05463508398425,0.7648634122900393,-0.05531476752587694,0,0
20,0.0,0.0,96.24964971757393,0.7843758757060652,-0.0453137605162125,0,0
21,0.0,0.0,93.23156103422627,0.7919210974144343,-0.07521891772915079,0,0
22,0.0,0.0,123.59276970121577,0.7160180757469605,-0.05118346189634748,0,0
23,0.0,0.0,76.88198248319226,0.8327950437920193,-0.023837508494426785,0,0
24,0.0,0.0,112.77837561069695,0.7430540609732575,-0.05377572547247156,0,0
25,0.0,0.0,95.22252226773276,0.7869436943306681,-0.04620943761804652,0,0
26,0.0,0.0,105.31270601421534,0.7617182349644617,-0.040113415695546384,0,0
27,250.0,2024344.2229786762,500.0,0.05,-0.03826803681154223,0,1
28,0.0,0.0,87.55933971851424,0.8061016507037144,-0.04590924331112256,0,0
29,0.0,0.0,92.4369608819176,0.7939075977952059,-0.07997451219128193,0,0
30,0.0,0.0,103.19598782035978,0.7670100304491005,-0.038146013118770306,0,0
31,0.0,0.0,102.77533798955396,0.7680616550261151,-0.040500377373202445,0,0
32,0.0,0.0,85.39008943821224,0.8115247764044694,-0.04547568807004487,0,0
